abbr,name,description,responsibilities,deliverables,qualities,list_cap
PROG,Programs,"The Programs committee make up the core of most projects as their outputs typically manifest in the bulk of the project/event. Given this, the programs committee must always keep the project's participants/attendees in mind when designing the program and working on their other tasks/deliverables.","Responsible for conceptualizing and implementing the program of the project. | Responsible for the smooth running of the program throughout the event, ensuring that the project starts and ends on time, and that the participants/attendees are engaged and having fun. | Most of the work takes place before and during the project proper.","Program Flow (typically details time, duration and what's going on at that time) | Operation Schedule (OpSched) (goes into greater detail than the program flow and may include materials needed, people involved, point persons, notes, etc.) | Invitation of Performers/Hosts/Speakers | Hosts' Script | PPT presentations (alongside Creatives) | Modules consisting of activities such as ice breakers, games, etc. | Content for promotions (i.e. gimmicks, raffles, etc.) | Certificates & Tokens of Appreciation for Performers/Speakers/Hosts | Handling dry runs | Module cheat sheet/guide",Creative - able to think out of the box | Quick-witted - able to adapt to changes quickly | Communication skills - able to relay information to/from multiple parties clearly,
LOG,Logistics,"The Logistics committee works behind the scenes to make the project happen. As such, most of their work is done during the project proper and after the project.","Responsible for securing the platform/venues for the project and all other required materials (e.g., prizes). | Responsible for movement/mobilization of people and goods. | Works closely with PROG to implement the program flow.","Securing the rooms (through forms), items, and other materials needed for the project proper. | Delivering the items to the necessary places. | Conceptualizing set design (with approval from PR) | Arriving early on the event day to set-up the booth/room/hall and packing up all the items and materials afterwards. | Ensuring that movement of participants remains smooth. | Purchasing and handling the delivery of prizes or tokens of appreciation to participants.","Have the knowledge on how to secure rooms, purchase items or materials needed. | Alert - aware of everything that's going on and able to react quickly under pressure.",
OPS,Operations,The Operations committee oversees money-related transactions between Celadon and 3rd parties and creates systems and processes to facilitate the smooth flow of operations.,Oversee money-related transactions between Celadon and 3rd parties. | Create systems and processes to facilitate the smooth flow of operations,"Create and program an excel spreadsheet that will monitor and log down actions taken for an event (online and onsite sales of a product, remaining inventory of resources, etc.) | Create google forms for ordering processes | Manage onsite inventory and the pick-ups of online orders",Ability to design and program excel spreadsheets | Detail oriented,
REC&SEC,Recruitment & Secretariat,"The Recruitment and Secretariat committee works all throughout the project planning and execution phase to manage the recruitment, registration, and evaluation processes of the project.","Responsible for handling recruitment of participants, facilitators, etc. depending on the nature of the project. | Responsible for the registration and post-project evaluation files. | Responsible for recruiting ambassadors (within and outside Celadon) and managing them","Registration Forms/Sheets | Early Departure, Tardiness, and Absence Forms (EDTAFs) | Directory of Participants' information | Making groupings of participants | Recruiting and managing project ambassadors | (Onsite) First touchpoints of participants; responsible for the registration booths. | (Onsite) Checking that participants have all the necessary documents needed to enter the event (Blue Pass, CAR Form, Health Kit, etc.).","Organized | Communication skills | Familiarity with Google Sheets, Forms",
DC,Digital Creatives,"The Digital Creatives committee designs the visual identity of the project in the form of its promotions and other published materials. As such, much of their work is done prior to the project proper.","Responsible for the conceptualization and execution of creative digital promotions through outputs such as posters, gifs, etc. | Responsible for conceptualizing content that will aid in the promotions of the event (alongside DOCPUB and PR). | Responsible for ensuring that all visual materials used in the project will have a consistent style/branding. | Must adhere to the branding of Celadon as presented in the official branding manual and project brand book.","Branding guide for the project - includes color scheme, font families, elements used in publicity material | Publicity Materials (PubMats) - DPs, Posters, GIFs, Primers, etc. | PPT template (for PROG) | Frame template for Photos (for DOCPUB) | Skins for live streams (for LOG)","Familiarity with Canva, Adobe Photoshop, Illustrator, etc. and basic graphic design principles. | Creative - able to ideate new and unique promotions. | Disciplined - to keep up with deadlines/avoid cramming. | Consistency - able to stick to the branding of the project and maintain good quality of work.",20
PROD,Production Design,The Production Design committee is in charge of planning and executing the physical promotions for projects. The team will utilize current trends to not only improve publicity for projects but also provide entertainment and increase engagement.,Responsible for ensuring that all kinds of promotional materials will not cause any detriment to anyone involved in the execution | Responsible for ideating and creating props and items that will be physically utilized in a given project. | Responsible for the ideation and execution of the event design of a given onsite project. | Outputs created by PROD must adhere to the project's branding guidelines and Celadon's official branding.,"Promotional plan - communicating with PROG to determine the specific onsite gimmicks to be executed, and creating the props for it (if any). | Reserving venues for non-traditional promotional initiatives, such as the Matteo Steps, if necessary | Booth design/venue layout - plan the designs and physical props to be used on the booth or venue.",Up-to-date - aware of marketing themes and gimmicks that can be applied to projects through onsite/physical craft/execution. | Creative - able to think of unique ways to design a given layout given their resources. | Resourceful - able to find ways to execute their plans in case of contingencies. | Diligent - able to execute all their deliverables on time.,
DOCPUB,Documentation & Publications,"The Documentation and Publications committee handles the photo, video, and writing-related outputs of the project. Most of their work is done during the project proper and after the project but can have work before the project itself in the form of photoshoots/videoshoots for publicity materials.","Responsible for conceptualizing content that will aid in the promotions of the event (alongside CT and PR), usually but will not be limited to DPs, video content, and photo/video-related pubs. | Responsible for writing copy to support promotional materials. | Responsible for event documentation during the project proper and editing after the project proper. | Outputs created by DOCPUB must adhere to the project's branding guide as well as Celadon's official branding.",Event Photos | Captions for promotional posts | Teaser videos | Articles | Post-processing photos/videos,Familiarity with screenshotting and photo-video editing software | Familiarity with copywriting techniques | Open to criticism and feedback that may arise during the project which may lead to revisions | Possesses a keen eye for identifying and executing suitable aesthetics for individual outputs | Disciplined,20
EXREL,External Relations,"The External Relations committee handles the projects' external stakeholders, more specifically those whose agreements handle money. As such, the bulk of their work is done prior to the project proper.",Responsible for contacting and negotiating with sponsors for the project. | Responsible for ensuring that both sides of the agreement are met and that information relevant to specific individuals/groups in the project are relayed promptly and accurately.,"Drafting the MOA to suit the needs of the project | Contacting potential sponsors for the project through email and other means | Negotiating with potential sponsors to reach an agreement | Processing files such as the Memorandum of Agreement (MOA), etc. | Keeping track of requirements of the agreement (e.g., likes, shares, logo placement, etc.) | Informing certain parties (e.g., Project Managers, PROG, etc.) about requirements relevant to them",Communication and negotiation skills | Persistence | Familiarity with mail merge,
FR,Fundraising,The Fundraising committee enables the project to happen through supplementing the project's budget with the profits from fundraising initiatives.,Responsible for brainstorming and planning different ways to raise money for the project. | Responsible for keeping track of cash flows for all fundraising activities and transferring the profits to where it is needed (typically to LOG). | Responsible for manning the fundraising booth or online store in a manner that is in compliance with proper business ethic.,Creating promotional material for fundraising initiatives,Proactivity,
CONS,Concessionaires,The Concessionnaires committee handles everything to do with concessionnaires for the project.,"Responsible for looking for concessionaires, communicating with them, and addressing their questions and concerns. | Responsible for ensuring that both sides of the agreement are met and that information relevant to specific individuals/groups in the project are relayed promptly and accurately.","Making a database of potential concessionnaires | Contacting potential concessionnaires through email and other means | Detailing packages for concessionaires | Processing certain files/contracts/documents | Processing payments from concessionaires | Coordinating with other committees (i.e., LOG) regarding concessionaires' products, etc.",Communication and negotiation skills | Persistence | Familiarity with mail merge,
