slug,title,department_slug,project_slug,status,description,responsibilities,common_deliverables,qualities,application_deadline,application_link,core_application_link,head_application_link
chinese-new-year-cons,Concessionaires (CONS),,chinese-new-year,closed,The Concessionaires committee handles everything to do with concessionaires for the project.,"Responsible for looking for concessionaires, communicating with them, and addressing their questions and concerns.
Responsible for ensuring that both sides of the agreement are met and that information relevant to specific individuals/groups in the project is relayed promptly and accurately.","Making a database of potential concessionaires
Contacting potential concessionaires through email and other means
Detailing packages for concessionaires
Processing certain files/contracts/documents
Processing payments from concessionaires
Coordinating with other committees (i.e., LOG) regarding concessionaires' products, etc.","Communication and negotiation skills
Persistence
Familiarity with mail merge",,,,
chinese-new-year-dc,Digital Creatives (DC),,chinese-new-year,closed,"The Digital Creatives committee designs the visual identity of the project in the form of its promotions and other published materials. As such, much of their work is done prior to the project proper.","Responsible for the conceptualization and execution of creative digital promotions through outputs such as posters, GIFs, etc.
Responsible for conceptualizing content that will aid in the promotion of the event, such as DP shoots and posters (alongside DOCPUB and PROD).
Responsible for ensuring that all visual materials used in the project will have a consistent style/branding.
Must adhere to the branding of Celadon as presented in the official branding manual and project brand book.","Branding guide for the project - includes color scheme, font families, elements used in publicity material
Publicity Materials (PubMats) - DPs, Posters, GIFs, Primers, etc.
PPT template (for PROG)
Frame template for Photos (for DOCPUB)
Skins for live streams (for LOG)","Familiarity with Canva, Adobe Photoshop, Illustrator, etc., and basic graphic design principles.
Creative - able to ideate new and unique promotions.
Disciplined - able to keep up with deadlines and avoid cramming.
Consistent - able to stick to the branding of the project and maintain good quality of work.",,,,
chinese-new-year-deliveries,Deliveries,,chinese-new-year,closed,The Deliveries committee handles everything to do with on-site deliveries of the project.,Responsible for tracking the delivery status of products and delivering them to customers.,"Ideate and create delivery spiels for customers
Recruit volunteers to aid in the delivery of products
Manage onsite deliveries and trackers in partnership with the Operations committee","Upbeat demeanor and ability to make deliveries engaging for recipients
Ability to adapt and improvise to customer needs
Organized and able to note down delivery status consistently and accurately
Active onsite presence and ability to complete numerous shifts",,,,
chinese-new-year-docpub,Documentation & Publications (DOCPUB),,chinese-new-year,closed,"The Documentation and Publications committee handles the photo, video, and writing-related outputs of the project. Most of their work is done during and after the project proper, though some work (photoshoots/videoshoots, writing spiels for publicity materials) happens beforehand. Work is often delegated across the committee according to each member's preference and capabilities.","Responsible for conceptualizing content that will aid in the promotion of the event, usually but not limited to DPs, video content, and photo/video-related pubs.
Responsible for writing copy to support promotional materials.
Responsible for event documentation during the project proper and editing after the project proper.
Outputs created by DOCPUB must adhere to the project's branding guide as well as Celadon's official branding.","Photos: event photos, DP blast photoshoots, post-processing photos
Videos: teaser videos, promotional reels, post-event recap
Writing: captions or spiels for promotional posts, articles","Familiarity with camera equipment and photo/video editing software.
Familiarity with copywriting techniques.
Open to criticism and feedback that may lead to revisions.
A keen eye for identifying and executing suitable aesthetics for individual outputs.
Disciplined - able to complete deliverables on time and stay focused on the job.",,,,
chinese-new-year-exrel,External Relations (EXREL),,chinese-new-year,closed,"The External Relations committee handles the project's external stakeholders, more specifically, those whose agreements involve money. As such, the bulk of their work is done prior to the project proper.","Responsible for contacting and negotiating with sponsors for the project.
Responsible for ensuring that both sides of the agreement are met and that information relevant to specific individuals/groups in the project is relayed promptly and accurately.","Drafting the Memorandum of Agreement (MOA) to suit the needs of the project
Contacting potential sponsors for the project through email and other means
Negotiating with potential sponsors to reach an agreement
Processing files such as the Memorandum of Agreement (MOA), etc.
Keeping track of requirements of the agreement (e.g., likes, shares, logo placement, etc.)
Informing certain parties (e.g., Project Managers, PROG, etc.) about requirements relevant to them","Communication and negotiation skills
Persistence
Familiarity with mail merge (e.g., Mail Meteor)
Detail-oriented",,,,
chinese-new-year-faci-vols,Facilitators/Volunteers (FACI/VOLS),,chinese-new-year,closed,The Facilitators/Volunteers committee is in charge of handling facilitators or volunteers. Much of their work is done prior to the project and during the project proper. They work closely with Programs to communicate all relevant information to facilitators/volunteers.,"(FACI) Responsible for training facilitators, motivating them, and managing them during the project proper (with help from HR EBCB).
(VOLS) Responsible for briefing volunteers on their tasks.
Responsible for ensuring that facilitators/volunteers are sufficiently prepared and have all necessary materials.
Responsible for communicating with REC&SEC regarding the recruitment of facilitators/volunteers.","Faci cheat sheet/guide
Volunteers' general assembly
Facilitator training sessions
Participating in dry runs
Keeping facilitators/volunteers updated
Pre-event briefing
Post-event debriefing","(FACI) Experience being a facilitator
Communication skills",,,,
chinese-new-year-fr,Fundraising (FR),,chinese-new-year,closed,The Fundraising committee enables the project to happen by supplementing the project's budget with the profits from fundraising initiatives.,"Responsible for brainstorming and planning different ways to raise money for the project and ideating new, innovative, and attractive fundraising concepts.
Responsible for keeping track of cash flows for all fundraising activities and transferring the profits to where they are needed (typically to LOG).
Responsible for manning the fundraising booth or online store in a manner that complies with proper business ethics.","Fundraising initiatives
Financial tracker for cash flows
Buying and selling online (e.g., Ateneo Trade)
Tracking expenses, revenues, and profits
Creating promotional material for fundraising initiatives
Team ideating and research
Finding concessionaires for initiatives (depends on the project)","Enterprising spirit - enjoys earning money
Tenacity
Familiarity with the online marketplace
Keen eye for relevant trends and products in the market
Proactivity
Communication and persuasion skills",,,,
chinese-new-year-log,Logistics (LOG),,chinese-new-year,closed,The Logistics committee works behind the scenes to make the project happen.,"Responsible for securing the platform/venues for the project and all other required materials (e.g., prizes).
Responsible for movement/mobilization of people and goods.
Works closely with PROG to implement the program flow.","Sourcing/purchasing materials needed by the project
Securing the rooms (through forms), items, and other materials needed for the project proper.
Delivering the items to the necessary places.
Conceptualizing venue layout together with the Production Design Committee.
Arriving early on the event day to set up the booth/room/hall and packing up all the items and materials afterwards.
Ensuring that the movement of participants remains smooth.
Purchasing and handling the delivery of prizes or tokens of appreciation to participants.","Has the knowledge on how to secure rooms and purchase items or materials needed.
Alert - aware of everything that's going on and able to react quickly under pressure.",,,,
chinese-new-year-ops,Operations (OPS),,chinese-new-year,closed,The Operations committee oversees money-related transactions between Celadon and 3rd parties and creates systems and processes to facilitate the smooth flow of operations.,"Oversee money-related transactions between Celadon and 3rd parties.
Create systems and processes to facilitate the smooth flow of operations.","Create and program spreadsheets that monitor and log actions taken for an event (online and onsite sales of a product, remaining inventory of resources, etc.)
Create Google Forms for ordering processes
Manage onsite inventory and the pick-ups of online orders","Ability to design and program Excel spreadsheets
Detail oriented",,,,
chinese-new-year-prod,Production Design (PROD),,chinese-new-year,closed,"The Production Design committee is in charge of planning and executing the physical promotions for projects (in collaboration with PROG or other core team committees). The team utilizes current trends to not only improve publicity for projects but also provide entertainment and increase engagement (e.g., a quick game with varying prizes done prior to the event).","Responsible for ensuring that all kinds of promotional materials will not cause any detriment to anyone involved in the execution.
Responsible for ideating and creating props and items that will be physically utilized in a given project.
Responsible for the ideation and execution of the event design of a given onsite project.
Outputs created by PROD must adhere to the project's branding guidelines and Celadon's official branding.","Promotional plan - communicating with PROG to determine the specific onsite gimmicks to be executed.
Creating props for the project (if applicable)
Booth design/venue layout - plan the designs and physical props to be used on the booth or venue.
Communicating with DOCPUB to arrange DP shoots, ideate set design, and execute the vision.","Up-to-date - aware of marketing themes and gimmicks that can be applied to projects through onsite/physical craft/execution.
Creative - able to think of unique ways to design a given layout given available resources.
Resourceful - able to find ways to execute plans and gather materials in case of contingencies.
Diligent - able to execute all deliverables on time.
Sustainable - able to think of ways to reuse old materials and make designs reusable in the future.",,,,
